"rapidly";"rapidement";"B1";7;"Manner"
"rarely";"rarement";"A2";3;"Frequency"
"readily";"facilement";"B2";5;"Manner"
"really";"vraiment";"A1";9;"Degree"
"recently";"récemment";"A2";6;"Time"
"recklessly";"imprudemment";"C1";4;"Manner"
"regularly";"régulièrement";"A2";7;"Frequency"
"reluctantly";"à contrecoeur";"B2";4;"Manner"
"remarkably";"remarquablement";"C1";5;"Degree"
"repeatedly";"à plusieurs reprises";"B2";6;"Frequency"
"respectfully";"respectueusement";"B2";5;"Manner"
"responsibly";"responsablement";"B2";6;"Manner"
"restlessly";"impatiemment";"C1";4;"Manner"
"retrospectively";"rétrospectivement";"C2";3;"Time"
"rightly";"correctement";"B2";5;"Manner"
"rigidly";"rigidement";"C1";4;"Manner"
"robustly";"robustement";"C2";3;"Manner"
"romantically";"romantiquement";"B2";5;"Manner"
"roughly";"grossièrement";"B1";6;"Manner"
"routinely";"habituellement";"B1";7;"Frequency"
