"zebra";"zèbre";"A1";"7";"CONCRETE"
"zephyr";"zéphyr";"C2";"1";"ABSTRACT"
"zeppelin";"zeppelin";"B2";"2";"CONCRETE"
"zest";"zeste";"B1";"4";"ABSTRACT"
"zibeline";"zibeline";"C2";"1";"CONCRETE"
"ziggurat";"ziggourat";"C1";"1";"CONCRETE"
"zigzag";"zigzag";"A2";"5";"ABSTRACT"
"zilch";"rien";"B2";"3";"ABSTRACT"
"zillion";"zillion";"C1";"2";"ABSTRACT"
"zinc";"zinc";"A2";"6";"CONCRETE"
"zincite";"zincite";"C2";"1";"CONCRETE"
"zincography";"zincographie";"C2";"1";"ABSTRACT"
"zipper";"fermeture-éclair";"A1";"8";"CONCRETE"
"zircon";"zircon";"C2";"1";"CONCRETE"
"zirconia";"zircone";"C2";"1";"CONCRETE"
"zirconite";"zirconite";"C2";"1";"CONCRETE"
"zirconium";"zirconium";"B2";"2";"CONCRETE"
"zirconoid";"zirconoïde";"C2";"1";"CONCRETE"
"zirconyl";"zirconyle";"C2";"1";"CONCRETE"
"zither";"cithare";"B2";"2";"CONCRETE"
"zizz";"ronflement";"C2";"1";"ABSTRACT"
"zloty";"zloty";"B1";"3";"CONCRETE"
"zlotys";"zlotys";"B1";"3";"CONCRETE"
"zoanthropy";"zoanthropie";"C2";"1";"ABSTRACT"
"zoarium";"zoaire";"C2";"1";"CONCRETE"
"zodiac";"zodiaque";"B1";"4";"CONCRETE"
"zoetrope";"zootrope";"C2";"1";"CONCRETE"
"zoisite";"zoïsite";"C2";"1";"CONCRETE"
"zombie";"zombie";"A2";"7";"CONCRETE"
"zombieism";"zombiisme";"C2";"1";"ABSTRACT"
"zombiism";"zombiisme";"C2";"1";"ABSTRACT"
"zone";"zone";"A1";"9";"CONCRETE"
"zoo";"zoo";"A1";"8";"CONCRETE"
"zoogloea";"zooglée";"C2";"1";"CONCRETE"
"zoogony";"zoogonie";"C2";"1";"ABSTRACT"
"zoograft";"xénogreffe";"C2";"1";"CONCRETE"
"zoografting";"xénogreffe";"C2";"1";"ABSTRACT"
"zoographer";"zoographe";"C2";"1";"CONCRETE"
"zoographist";"zoographe";"C2";"1";"CONCRETE"
"zoography";"zoographie";"C2";"1";"ABSTRACT"
"zooid";"zoïde";"C2";"1";"CONCRETE"
"zooidiophilous";"zoïdéophile";"C2";"1";"ABSTRACT"
"zoology";"zoologie";"B1";"5";"ABSTRACT"
"zoologyist";"zoologiste";"C2";"1";"CONCRETE"
"zoomania";"zoomanie";"C2";"1";"ABSTRACT"
"zoomanias";"zoomanies";"C2";"1";"ABSTRACT"
"zoometry";"zoométrie";"C2";"1";"ABSTRACT"
"zoomorphism";"zoomorphisme";"C2";"1";"ABSTRACT"
"zoonomy";"zoonomie";"C2";"1";"ABSTRACT"
"zoopathology";"zoopathologie";"C2";"1";"ABSTRACT"
"zoopathy";"zoopathie";"C2";"1";"ABSTRACT"
"zoopathyist";"zoopathiste";"C2";"1";"CONCRETE"
