"x-ray;radiographier - examiner par radiographie;B2;5;ACTION;REGULAR
xenobiotically;xénobiotiquement;C2;1;STATE;IRREGULAR
xenodiagnose;xénodiagnostiquer;C2;1;ACTION;IRREGULAR
xenogenically;xénogéniquement;C2;1;STATE;IRREGULAR
xenogenize;xénogéniser;C2;1;ACTION;IRREGULAR
xenograft;xénogreffer;C2;1;ACTION;IRREGULAR
xenophobically;xénophobiquement;C1;3;STATE;IRREGULAR
xenophobize;xénophobiser;C2;1;ACTION;IRREGULAR
xenotransplant;xénotransplanter;C2;1;ACTION;IRREGULAR
xerox;photocopier - xérographier;B2;6;ACTION;REGULAR"
